trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-104.8619726309491,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-111.60625276951806,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-105.2209565427639,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-199.05507499189162,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,9,-43.24312120481885,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-55.539425787279825,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-110.17223903910669,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-89.00813410520615,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-223.70704506457997,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,10,-35.92808055739222,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-173.55824075990554,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-80.33225574571902,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,11,-29.3888949182037,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-73.20381385699623,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-122.05805987915349,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-90.70365550378725,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-86.6011711116745,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-37.197347076542094,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-88.38778138918542,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-106.21571838758166,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",30,0,-161.9074146601845,"{0: 13, 1: 6, 2: 9, 3: 1, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-57.83511164441927,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",30,0,-206.81500329502498,"{0: 14, 1: 6, 2: 5, 3: 3, 4: 2}",0
