trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",30,7,-11.070784440259747,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-120.48967240309344,"{0: 17, 1: 0, 2: 4, 3: 3, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,0,-168.2363818832757,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,6,-68.8640401386751,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-78.88743605066524,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",25,0,-80.05103460376125,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-76.40049639403236,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,10,-86.41797393528597,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-100.78288117198748,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",35,8,-35.86662834095945,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,3,-60.055147358096406,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,11,-13.793718751846708,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,20,-2.5962526052081754,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-7.720056434038209,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-35.664895937358935,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,-76.75547702716014,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,8,-55.21685285477899,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,2.332600130991252,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,4,-44.762134648269985,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,5,-11.57638881149272,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",35,16,-17.575727622707785,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,3,-80.95557450787068,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 2}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-101.72556948203858,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,9,4.008952842970037,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,0,0.6250149697066054,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,10,2.096365264485823,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,0,-21.72833633721352,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",35,4,17.673748528227733,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,0,-33.172911468514776,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,8,-31.825006113645685,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,2,-30.62632744193234,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,15,1.282061305240006,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,15,5.320142075185867,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,18,9.893905331808421,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",30,8,-63.41619243558001,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,8,29.34207705539371,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",25,10,-9.829290251756433,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,6,-0.034907237259411916,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,0,-50.29254841199346,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,0,-20.29760765979138,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,7,17.453588180914966,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,11,15.994667419344804,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",35,12,3.795313372083835,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.3058169083782893}",20,0,-11.494819203447332,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,0,-32.243981640866124,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,12,-5.587321640311558,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",20,0,5.648344427436628,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,6,-12.0440056689673,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,8,-53.40768553658881,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,6,-3.2948212482414228,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",25,0,-20.499097533463832,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",20,0,-31.30292130545405,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,14,-2.1990188720072235,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",25,11,15.703629431219383,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",30,16,17.262362858271793,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,16,18.690255839874307,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299934}",25,11,16.5358490315774,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,0,37.76987272503675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,12,14.504705263564542,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,18,16.394253860616853,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.1403316058467367}",20,14,13.409110350793137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.13042370873814554}",30,8,35.36910274681523,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.1205027693673666}",25,5,-2.1224353364431963,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.11056977982006957}",25,14,2.3995460577304346,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.10062573338693172}",30,22,13.633587473163425,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.09067162446430967}",20,12,15.144962849034927,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.08070844845480062}",20,11,-26.71926014510055,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.0707372016677029}",20,11,18.73259580445122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0607588812193859}",20,15,7.669354638658638,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.05077448493357918}",20,15,10.282523145459177,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.040785011241591035}",25,17,14.549193127027696,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.030791459082466124}",20,15,12.623252874873398,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.02079482780309243}",20,12,15.289767842005302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.010796117058267392}",35,21,22.831466149649074,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.0007963267107332633}",25,17,16.51373529585939,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,12,14.837664542553178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,8,18.955462289501806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,20,16.6425326664559,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,13,20.22918376015531,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,16,16.890544359226297,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,35.77026297476183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,5,20.605551898138682,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,11,18.495051610026728,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,19,12.63417960788197,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,16,27.90386878209338,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
