trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9048374180359595}",25,0,-236.4624152892024,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
2,False,"{'a': 0.1, 'e': 0.8187307530779818}",25,0,-115.66622610938812,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.7408182206817179}",30,0,-118.41380455193784,"{0: 17, 1: 8, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,6,16.727736848750112,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.1, 'e': 0.6065306597126334}",20,0,-63.22821691469454,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.5488116360940264}",25,0,-116.97395181591435,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.49658530379140947}",35,0,-164.69524374932575,"{0: 24, 1: 2, 2: 4, 3: 3, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.44932896411722156}",20,0,-94.9611263872449,"{0: 13, 1: 1, 2: 2, 3: 4, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.4065696597405991}",25,10,21.660621212553202,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.1, 'e': 0.36787944117144233}",30,13,10.964507018458487,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.1, 'e': 0.33287108369807955}",20,0,-19.247060751611293,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.301194211912202}",20,0,-19.40573322404648,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.2725317930340126}",35,16,23.141239825989082,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.24659696394160643}",25,5,-38.08721612693206,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",1
15,False,"{'a': 0.1, 'e': 0.22313016014842982}",25,0,-10.943658260413468,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
