trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-120.93492918703258,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-100.13072869854554,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-143.2590348515523,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-146.0087025564971,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-229.26444462403717,"{0: 9, 1: 4, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-154.28843004314862,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-70.77428909352547,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,5,-78.03971127890576,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-145.02665847907446,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",30,0,-209.16572523727828,"{0: 12, 1: 6, 2: 7, 3: 4, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-78.82336357309545,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-59.505748023158915,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-137.1421287754576,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-43.20336438739575,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-87.13026847476085,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-51.30716304097625,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,4,-38.96107321589121,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-174.94355835620493,"{0: 15, 1: 7, 2: 4, 3: 2, 4: 2}",0
