trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-107.08006855865538,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-109.12691855487118,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,0,-72.75091673643027,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,2,-2.741670489177193,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",25,0,-134.41954487095424,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",20,0,-47.32096495456347,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",20,3,-40.39904152182726,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",25,0,-169.45697477184663,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",25,14,-3.8036447470211616,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-32.37986575652304,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.70866977429126}",20,0,-25.889980792461927,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-100.49797597062685,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,0,-65.87390517275992,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,8,7.952757842490851,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.3466353178350258}",25,0,-46.65770689098247,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.14550003380861354}",20,0,-9.454455552146548,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.6020119026848236}",20,0,-64.97385487738524,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9111302618846769}",30,0,-101.8499860380221,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9971721561963784}",25,0,-193.62324840085097,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8390715290764524}",20,0,-181.19197407413202,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.47553692799599256}",35,0,-6.205123147232138,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.004425697988050786}",30,1,37.53450938876978,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,15,16.686494656202626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,11,5.683239858213649,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,12,32.32221032259674,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,12,22.357150683532456,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,20,9.872119105520417,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,13,-29.430540245045766,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,12,-9.278093850294125,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,14,22.004863610111656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,6,-17.896243907681562,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-16.022197300574415,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
