trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-92.8272386133627,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-168.56826510253302,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-146.59436184856278,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,5,-166.23553487526186,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-90.71752861418696,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-234.25548811820553,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-66.58420631993276,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-171.37690961806692,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-213.31328716561927,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-190.95860821582085,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,2,-40.2839927065971,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",30,0,-181.42160758553325,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-109.56880099810101,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-192.8984758908743,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",25,0,-46.24405919702822,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-66.71463554744024,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-132.5860293075466,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-150.94910866912082,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-57.92536401964174,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-149.3249463884715,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",30,0,-107.33571843882444,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",25,0,-202.26415820625328,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",35,3,-69.83443832373464,"{0: 25, 1: 2, 2: 3, 3: 1, 4: 1}",1
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",25,0,-24.931578780783248,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-64.07484413829751,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,11,-7.741715806053292,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.7633794943368531}",25,6,-106.95378295898134,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 2}",1
28,False,"{'a': 0.01, 'e': 0.7557837414557255}",30,0,-102.23710129124278,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.7482635675785653}",30,0,-74.43227006981782,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",20,0,-16.072728213878374,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,4.652489945682393,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",25,0,-140.5105442377194,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,2,-73.60383363424432,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",25,0,-84.12335689599004,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",25,0,-41.11153225699303,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",20,0,-22.81595487352679,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",20,2,-148.68219070837094,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 2}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",20,9,-18.82228501533271,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",30,0,-110.95111592890551,"{0: 24, 1: 3, 2: 0, 3: 0, 4: 3}",0
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,0,-108.7276388627255,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",20,8,-43.97832615857613,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",20,13,-9.607140660590398,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,0,-66.17918296567603,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",25,7,-165.85912350439378,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 3}",1
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",25,3,-171.87479323224483,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 4}",1
46,False,"{'a': 0.01, 'e': 0.631283645506926}",20,13,-50.70578892848894,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",25,11,-13.758991255617149,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",25,0,-30.895084928254455,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,0,-54.93650510458303,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-79.67404712604957,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-81.8168136477955,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",25,0,-63.99032485625337,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",20,10,-23.37989574133552,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",20,0,2.143286528872344,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",20,0,-41.92805615986015,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",20,2,-27.43559883890978,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,9,4.847544304417153,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.559898366565402}",20,12,-5.252482072275173,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",20,11,-26.57916966348621,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,3,-0.5957161566047793,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,6,-35.2760745640938,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",25,0,-72.5423563745292,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",35,0,-25.978292453952157,"{0: 27, 1: 3, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,8,-30.48583870454107,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-22.54957581827183,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",30,4,-133.226894774683,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 3}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,0,-64.60260709744561,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",30,11,-62.91541217484322,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,15,-3.9553508411370335,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",20,16,9.255689797268577,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",30,8,-22.748024280970807,"{0: 18, 1: 2, 2: 0, 3: 2, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",35,14,29.075189107236227,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",25,0,-86.86572673179349,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",20,0,-39.17702017665328,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
